Latitude,Longitude,Ampli I,Ampli I generic,delta_log_pga,ampli_pga
46.241,6.645,-0.31,0.16,0.062015504,1.153494436
46.241,6.6725,-0.31,0.16,0.062015504,1.153494436
46.241,6.7825,-0.31,0.16,0.062015504,1.153494436
46.241,6.975,-0.31,0.16,0.062015504,1.153494436
46.241,7.36,-0.31,0.16,0.062015504,1.153494436
46.241,7.8825,-0.31,0.16,0.062015504,1.153494436
46.241,8.3775,-0.31,0.16,0.062015504,1.153494436
46.241,8.405,-0.31,0.16,0.062015504,1.153494436
46.255,6.3975,-0.31,0.16,0.062015504,1.153494436
46.255,6.59,-0.31,0.16,0.062015504,1.153494436
46.255,6.6175,-0.31,0.16,0.062015504,1.153494436
46.255,6.645,-0.31,0.16,0.062015504,1.153494436
46.255,6.6725,-0.31,0.16,0.062015504,1.153494436
46.255,6.7,-0.31,0.16,0.062015504,1.153494436
46.255,7.3875,-0.31,0.16,0.062015504,1.153494436
46.255,7.415,-0.31,0.16,0.062015504,1.153494436
46.255,7.8825,-0.31,0.16,0.062015504,1.153494436
46.255,8.075,-0.31,0.16,0.062015504,1.153494436
46.255,8.405,-0.31,0.16,0.062015504,1.153494436
46.27,6.645,-0.31,0.16,0.062015504,1.153494436
46.27,6.6725,-0.31,0.16,0.062015504,1.153494436
46.27,6.7,-0.31,0.16,0.062015504,1.153494436
46.27,6.7275,-0.31,0.16,0.062015504,1.153494436
46.27,7.91,-0.31,0.16,0.062015504,1.153494436
46.285,6.425,-0.31,0.16,0.062015504,1.153494436
46.285,6.645,-0.31,0.16,0.062015504,1.153494436
46.285,7.47,-0.31,0.16,0.062015504,1.153494436
46.285,7.4975,-0.31,0.16,0.062015504,1.153494436
46.285,7.855,-0.31,0.16,0.062015504,1.153494436
46.285,7.965,-0.31,0.16,0.062015504,1.153494436
46.299,6.7275,-0.31,0.16,0.062015504,1.153494436
46.299,6.755,-0.31,0.16,0.062015504,1.153494436
46.299,6.7825,-0.31,0.16,0.062015504,1.153494436
46.299,6.81,-0.31,0.16,0.062015504,1.153494436
46.299,6.8375,-0.31,0.16,0.062015504,1.153494436
46.299,6.865,-0.31,0.16,0.062015504,1.153494436
46.299,7.0025,-0.31,0.16,0.062015504,1.153494436
46.299,7.7175,-0.31,0.16,0.062015504,1.153494436
46.299,7.8,-0.31,0.16,0.062015504,1.153494436
46.299,7.965,-0.31,0.16,0.062015504,1.153494436
46.313,6.755,-0.31,0.16,0.062015504,1.153494436
46.313,6.865,-0.31,0.16,0.062015504,1.153494436
46.313,8.2125,-0.31,0.16,0.062015504,1.153494436
46.328,7.0575,-0.31,0.16,0.062015504,1.153494436
46.328,8.0475,-0.31,0.16,0.062015504,1.153494436
46.328,8.075,-0.31,0.16,0.062015504,1.153494436
46.328,8.1025,-0.31,0.16,0.062015504,1.153494436
46.343,6.7,-0.31,0.16,0.062015504,1.153494436
46.343,7.0575,-0.31,0.16,0.062015504,1.153494436
46.343,7.085,-0.31,0.16,0.062015504,1.153494436
46.343,7.1125,-0.31,0.16,0.062015504,1.153494436
46.343,8.075,-0.31,0.16,0.062015504,1.153494436
46.343,8.1025,-0.31,0.16,0.062015504,1.153494436
46.343,8.13,-0.31,0.16,0.062015504,1.153494436
46.343,8.3225,-0.31,0.16,0.062015504,1.153494436
46.357,7.0575,-0.31,0.16,0.062015504,1.153494436
46.357,7.085,-0.31,0.16,0.062015504,1.153494436
46.357,7.195,-0.31,0.16,0.062015504,1.153494436
46.357,8.13,-0.31,0.16,0.062015504,1.153494436
46.357,8.1575,-0.31,0.16,0.062015504,1.153494436
46.357,8.3225,-0.31,0.16,0.062015504,1.153494436
46.371,6.975,-0.31,0.16,0.062015504,1.153494436
46.371,7.1125,-0.31,0.16,0.062015504,1.153494436
46.371,7.14,-0.31,0.16,0.062015504,1.153494436
46.371,7.1675,-0.31,0.16,0.062015504,1.153494436
46.371,7.195,-0.31,0.16,0.062015504,1.153494436
46.371,7.2225,-0.31,0.16,0.062015504,1.153494436
46.371,8.1575,-0.31,0.16,0.062015504,1.153494436
46.371,8.185,-0.31,0.16,0.062015504,1.153494436
46.371,8.3225,-0.31,0.16,0.062015504,1.153494436
46.386,7.1125,-0.31,0.16,0.062015504,1.153494436
46.386,7.14,-0.31,0.16,0.062015504,1.153494436
46.386,7.1675,-0.31,0.16,0.062015504,1.153494436
46.386,7.195,-0.31,0.16,0.062015504,1.153494436
46.386,7.25,-0.31,0.16,0.062015504,1.153494436
46.386,8.185,-0.31,0.16,0.062015504,1.153494436
46.386,8.2125,-0.31,0.16,0.062015504,1.153494436
46.401,7.0025,-0.31,0.16,0.062015504,1.153494436
46.401,7.03,-0.31,0.16,0.062015504,1.153494436
46.401,7.14,-0.31,0.16,0.062015504,1.153494436
46.401,7.1675,-0.31,0.16,0.062015504,1.153494436
46.401,7.195,-0.31,0.16,0.062015504,1.153494436
46.401,7.25,-0.31,0.16,0.062015504,1.153494436
46.401,7.2775,-0.31,0.16,0.062015504,1.153494436
46.401,8.24,-0.31,0.16,0.062015504,1.153494436
46.415,7.03,-0.31,0.16,0.062015504,1.153494436
46.415,7.0575,-0.31,0.16,0.062015504,1.153494436
46.415,7.14,-0.31,0.16,0.062015504,1.153494436
46.415,7.1675,-0.31,0.16,0.062015504,1.153494436
46.415,7.195,-0.31,0.16,0.062015504,1.153494436
46.415,7.2225,-0.31,0.16,0.062015504,1.153494436
46.415,7.25,-0.31,0.16,0.062015504,1.153494436
46.415,8.2675,-0.31,0.16,0.062015504,1.153494436
46.415,8.295,-0.31,0.16,0.062015504,1.153494436
46.429,7.085,-0.31,0.16,0.062015504,1.153494436
46.429,7.14,-0.31,0.16,0.062015504,1.153494436
46.429,7.1675,-0.31,0.16,0.062015504,1.153494436
