#NET STA   CHA LOC    LAT      LON       ELEV ONDATE     OFFDATE 
CE  14003 HNZ  --  33.72950 -118.29050    25 2003/03/19 3000/01/01
CE  14004 HNZ  --  33.74720 -118.26030     1 2004/05/26 3000/01/01
CE  14005 HNZ  --  33.75880 -118.13090     3 2003/03/06 3000/01/01
CE  14006 HNZ  --  33.72690 -118.00080     6 2004/03/26 3000/01/01
CE  14007 HNZ  --  33.72300 -118.02570     3 2006/06/06 3000/01/01
CE  14017 HNZ  --  33.98960 -118.31210    41 2002/05/09 3000/01/01
CE  14026 HNZ  --  33.88920 -118.04690    18 2003/02/19 3000/01/01
CE  14027 HNZ  --  33.92830 -118.05760    46 2003/01/28 3000/01/01
CE  14028 HNZ  --  33.96220 -118.06550    48 2003/01/28 3000/01/01
CE  14035 HNZ  --  33.99270 -118.39630     2 2003/04/17 2014/02/24
CE  14036 HNZ  --  33.86880 -118.36830    23 2002/05/29 3000/01/01
CE  14037 HNZ  --  33.79670 -118.33800    36 2003/03/20 3000/01/01
CE  14038 HNZ  --  33.81320 -118.37020    27 2003/03/20 3000/01/01
CE  14041 HNZ  --  33.99100 -118.12120    55 2003/02/19 3000/01/01
CE  14043 HNZ  --  33.93850 -118.32690    31 2003/04/16 3000/01/01
CE  14044 HNZ  --  33.97630 -118.35340    53 2003/04/17 3000/01/01
CE  14050 HNZ  --  33.83370 -118.35590    22 2003/03/20 3000/01/01
CE  14058 HNZ  --  33.89800 -118.20880    21 2003/03/18 3000/01/01
CE  14059 HNZ  --  33.87580 -118.23970    32 2003/03/18 3000/01/01
CE  14060 HNZ  --  33.99900 -118.17820    46 2003/02/20 3000/01/01
CE  14125 HNZ  --  33.81790 -118.15810    16 2001/12/13 3000/01/01
CE  14159 HNZ  --  33.72200 -118.31030   122 2002/05/28 3000/01/01
CE  14175 HNZ  --  33.93070 -118.21430    23 2005/02/07 3000/01/01
CE  14175 HNZ  --  33.93100 -118.21400    23 2002/02/20 2005/02/07
CE  14176 HNZ  --  33.94800 -118.18370    25 2002/02/19 3000/01/01
CE  14221 HNZ  --  33.88830 -118.40980    33 2004/03/05 3000/01/01
